source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,1999-2000,Apr-1999,,35933.0,11758.0,20.0,capital_market_year_summary_table,Apr-99,662,600,"1,251",20,"1,173",49,"11,758","35,933","1,797","72,790","5,633","26,799","4,45,380",,,,,
capital_market,Capital Market,NA,2000-2001,Apr-2000,,57229.0,13390.0,18.0,capital_market_year_summary_table,Apr-00,725,473,"1,145",18,"1,059",74,"13,390","57,229","3,179","77,649","11,679","52,021","8,46,391",,,,,
capital_market,Capital Market,NA,2001-2002,Apr-2001,,35616.0,20782.0,19.0,capital_market_year_summary_table,Apr-01,790,319,"1,031",19,951,114,"20,782","35,616","1,875","31,133","20,735","35,605","6,53,720",,,,,
capital_market,Capital Market,NA,2002-2003,Apr-2002,,53320.0,28798.0,22.0,capital_market_year_summary_table,Apr-02,800,173,865,22,843,201,"28,798","53,320","2,424","26,512","28,782","53,316","6,49,551",,,,,
capital_market,Capital Market,NA,2003-2004,Apr-2003,,48971.0,31448.0,20.0,capital_market_year_summary_table,Apr-03,830,78,771,20,738,207,"31,448","48,971","2,449","23,657","31,448","48,971","5,30,630",,,,,
capital_market,Capital Market,NA,2004-2005,Apr-2004,,100951.0,53686.0,20.0,capital_market_year_summary_table,Apr-04,918,18,795,20,771,319,"53,686","1,00,951","5,048","31,646","53,686","1,00,951","11,71,828",,,,,
capital_market,Capital Market,NA,2005-2006,Apr-2005,,82718.0,51265.0,20.0,capital_market_year_summary_table,Apr-05,973,1,836,20,952,367,"51,265","82,718","4,136","22,527","51,265","82,718","15,17,908",,,,,
capital_market,Capital Market,NA,2006-2007,Apr-2006,,177372.0,72892.0,18.0,capital_market_year_summary_table,Apr-06,"1,084",-,944,18,967,567,"72,892","1,77,372","9,854","31,256","72,892","1,77,372","29,90,200",,,,,
capital_market,Capital Market,NA,2007-2008,Apr-2007,,168567.0,77081.0,20.0,capital_market_year_summary_table,Apr-07,"1,246",-,"1,104",20,"1,134",678,"77,081","1,68,567","8,428","24,862","77,081","1,68,567","36,50,368",,,,,
capital_market,Capital Market,NA,2008-2009,Apr-2008,,271227.0,114280.0,20.0,capital_market_year_summary_table,Apr-08,"1,390",-,"1,244",20,"1,293","1,079","1,14,280","2,71,227","13,561","25,137","1,14,280","2,71,227","54,42,780",,,,,
