segment,instrument,year,month_label,month_date,calendar_quarter,financial_year,financial_quarter,monthly_turnover,monthly_volume,active_trading_days,turnover,volume,mom_turnover_change,mom_volume_change,source_logic
Capital Market,NA,1999,Apr-1999,1999-04-01,Q2-1999,FY 1999-00,Q1,35933.0,11758.0,20.0,1796.65,587.9,,,capital_market_year_table_trading_days
Capital Market,NA,1999,May-1999,1999-05-01,Q2-1999,FY 1999-00,Q1,50263.0,18831.0,21.0,2393.4761904761904,896.7142857142857,0.3321883452404142,0.525283697421816,capital_market_year_table_trading_days
Capital Market,NA,1999,Jun-1999,1999-06-01,Q2-1999,FY 1999-00,Q1,40473.0,19207.0,22.0,1839.6818181818185,873.0454545454545,-0.2313765954714564,-0.02639506423161031,capital_market_year_table_trading_days
Capital Market,NA,1999,Jul-1999,1999-07-01,Q3-1999,FY 1999-00,Q2,55455.0,23349.0,22.0,2520.681818181818,1061.3181818181818,0.3701727077310797,0.21565054407247364,capital_market_year_table_trading_days
Capital Market,NA,1999,Aug-1999,1999-08-01,Q3-1999,FY 1999-00,Q2,53699.0,22869.0,22.0,2440.8636363636365,1039.5,-0.03166531421873575,-0.02055762559424379,capital_market_year_table_trading_days
Capital Market,NA,1999,Sep-1999,1999-09-01,Q3-1999,FY 1999-00,Q2,55878.0,21857.0,21.0,2660.8571428571427,1040.809523809524,0.09012937192232884,0.0012597631645252516,capital_market_year_table_trading_days
Capital Market,NA,1999,Oct-1999,1999-10-01,Q4-1999,FY 1999-00,Q3,72216.0,26100.0,21.0,3438.8571428571427,1242.857142857143,0.2923869859336412,0.19412545180033836,capital_market_year_table_trading_days
Capital Market,NA,1999,Nov-1999,1999-11-01,Q4-1999,FY 1999-00,Q3,66331.0,18847.0,21.0,3158.619047619048,897.4761904761905,-0.08149163620250344,-0.27789272030651346,capital_market_year_table_trading_days
Capital Market,NA,1999,Dec-1999,1999-12-01,Q4-1999,FY 1999-00,Q3,98585.0,24034.0,22.0,4481.136363636364,1092.4545454545455,0.41870111465775617,0.2172518413830029,capital_market_year_table_trading_days
Capital Market,NA,2000,Jan-2000,2000-01-01,Q1-2000,FY 1999-00,Q4,85939.0,19417.0,20.0,4296.95,970.85,-0.04110260181569214,-0.1113131397187318,capital_market_year_table_trading_days
Capital Market,NA,2000,Feb-2000,2000-02-01,Q1-2000,FY 1999-00,Q4,118694.0,20249.0,21.0,5652.095238095239,964.2380952380952,0.315373750705789,-0.006810428760266607,capital_market_year_table_trading_days
Capital Market,NA,2000,Mar-2000,2000-03-01,Q1-2000,FY 1999-00,Q4,105584.0,16187.0,21.0,5027.809523809524,770.8095238095239,-0.11045208687886521,-0.20060249888883397,capital_market_year_table_trading_days
